table,bucket,split,n_positions,bacv
age_total,1-2y,all,250,1735172277
age_total,2-3y,all,456,4389864262
age_total,3-5y,all,977,7317890645
age_total,5-10y,all,1455,10853863522
age_total,<1y,all,1439,10374631622
age_total,>=10y,all,624,3314565462
age_total,unknown,all,2,77041128
age_by_source,1-2y,FE (public agency rating),199,761889715
age_by_source,1-2y,PL (private letter),19,793596482
age_by_source,1-2y,none (exempt/blank),31,165303932
age_by_source,1-2y,"self/temporary (Z,YE,E,M,GI)",1,14382148
age_by_source,2-3y,FE (public agency rating),418,4131084963
age_by_source,2-3y,FM (financially modeled),1,7954541
age_by_source,2-3y,PL (private letter),11,55886145
age_by_source,2-3y,none (exempt/blank),22,174742188
age_by_source,2-3y,"self/temporary (Z,YE,E,M,GI)",4,20196425
age_by_source,3-5y,FE (public agency rating),854,5843435791
age_by_source,3-5y,FM (financially modeled),13,17198604
age_by_source,3-5y,PL (private letter),43,591700522
age_by_source,3-5y,none (exempt/blank),64,848804891
age_by_source,3-5y,"self/temporary (Z,YE,E,M,GI)",3,16750837
age_by_source,5-10y,FE (public agency rating),983,7402371324
age_by_source,5-10y,FM (financially modeled),47,38837878
age_by_source,5-10y,PL (private letter),58,590734922
age_by_source,5-10y,none (exempt/blank),350,2603651592
age_by_source,5-10y,"self/temporary (Z,YE,E,M,GI)",17,218267806
age_by_source,<1y,FE (public agency rating),1191,6351924344
age_by_source,<1y,FM (financially modeled),13,25575026
age_by_source,<1y,PL (private letter),140,3359345677
age_by_source,<1y,none (exempt/blank),51,283527386
age_by_source,<1y,"self/temporary (Z,YE,E,M,GI)",44,354259189
age_by_source,>=10y,FE (public agency rating),479,2533268110
age_by_source,>=10y,FM (financially modeled),51,55331678
age_by_source,>=10y,PL (private letter),4,22197789
age_by_source,>=10y,none (exempt/blank),88,685767885
age_by_source,>=10y,"self/temporary (Z,YE,E,M,GI)",2,18000000
age_by_source,unknown,FE (public agency rating),2,77041128
age_by_id_type,1-2y,CUSIP,226,887504673
age_by_id_type,1-2y,PPN (private placement),24,847667604
age_by_id_type,2-3y,CUSIP,443,4311841399
age_by_id_type,2-3y,PPN (private placement),13,78022863
age_by_id_type,3-5y,CUSIP,913,6566714769
age_by_id_type,3-5y,PPN (private placement),64,751175876
age_by_id_type,5-10y,CUSIP,1243,8942290528
age_by_id_type,5-10y,PPN (private placement),212,1911572994
